Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,47.139999,48.619999,47.090000,48.529999,46.141472,65431800
2018-01-29,48.209999,48.459999,46.630001,46.730000,44.430065,58219200
2018-02-05,46.650002,46.919998,42.189999,43.130001,41.007248,112635800
2018-02-12,43.560001,45.639999,43.369999,44.980000,42.766197,71979700
2018-02-19,44.750000,44.830002,43.220001,44.040001,41.872463,47585200
2018-02-26,44.230000,44.389999,42.820000,43.720001,41.568214,69214000
2018-03-05,43.570000,44.820000,43.470001,44.820000,42.614067,55024600
2018-03-12,44.950001,45.090000,43.450001,43.459999,41.321011,77581000
2018-03-19,43.459999,43.709999,42.290001,42.330002,40.601902,64743400
2018-03-26,42.610001,43.919998,42.250000,43.430000,41.656994,49631000
2018-04-02,43.439999,44.610001,42.470001,43.919998,42.126991,66458700
2018-04-09,44.029999,44.689999,43.720001,44.509998,42.692902,49967800
2018-04-16,44.650002,45.029999,43.580002,43.740002,41.954338,49858600
2018-04-23,43.740002,44.099998,41.910000,43.310001,41.541897,74516000
2018-04-30,43.500000,43.689999,41.520000,42.360001,40.630676,70586700
2018-05-07,42.340000,42.490002,41.669998,42.139999,40.419659,47949500
2018-05-14,42.250000,42.380001,41.450001,42.180000,40.458023,65563300
2018-05-21,42.310001,42.599998,41.930000,42.400002,40.669044,44380600
2018-05-28,42.119999,43.320000,42.099998,43.119999,41.359650,51177100
2018-06-04,43.360001,44.000000,43.040001,43.950001,42.155766,54933300
2018-06-11,43.950001,44.520000,43.450001,44.119999,42.318825,66773100
2018-06-18,43.880001,43.959999,42.959999,43.250000,41.853809,61381600
2018-06-25,43.160000,44.099998,42.990002,43.860001,42.444115,65554200
2018-07-02,43.779999,44.939999,43.580002,44.639999,43.198936,37833700
2018-07-09,44.540001,45.000000,44.340000,44.740002,43.295708,37612300
2018-07-16,44.730000,45.430000,44.529999,45.279999,43.818279,43461100
2018-07-23,45.279999,46.590000,44.610001,46.209999,44.718254,67362400
2018-07-30,46.099998,46.759998,46.049999,46.619999,45.115021,54783300
